Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,101448
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,73
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,56
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,23
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,11
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,58
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,19
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,8
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,23
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",189
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",40
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",88
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,48
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,312
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,30
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,45
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,9
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,231
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,3
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,12
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,58
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,94
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,12
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,24
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,11
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,20
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,48
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,42
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,22
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,57
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,1
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,35
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,88
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,162
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,18
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,93
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,19
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,12
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,2
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,27
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,75
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,7
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,2
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,10
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,26
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,112
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,104
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,10
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,90
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,14
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,30
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,19
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,90
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,83
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,5
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,41
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,41
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,10
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,93
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,13
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,11
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,5
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,56
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,9
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,2
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,13
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,3
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,47
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,45
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,13
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,19
