Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2019  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2019  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2019  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2019  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,138470
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,93
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,78
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,30
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,13
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,75
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,25
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,11
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,33
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",259
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",42
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",125
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,62
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,347
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,43
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,51
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,36
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,361
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,25
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,13
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,150
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,120
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,15
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,12
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,33
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,15
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,31
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,63
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,55
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,28
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,71
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,2
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,48
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,135
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,228
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,25
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,123
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,27
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,12
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,3
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,27
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,106
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,11
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,4
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,14
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,32
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,166
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,150
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,13
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,125
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,14
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,43
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,22
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,94
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,116
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,6
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,63
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,55
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,13
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,120
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,16
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,13
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,9
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,59
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,12
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,2
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,21
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,3
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,69
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,64
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,15
