Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2013  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2013  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2013  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2013  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,198301
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,97
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,87
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,71
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,11
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,119
Շիրակ,Գյումրի / Գյումրի,Շիրակի Մ.Նալբանդյանի անվ. պետ.համալսարան հիմնադրամի ա/դ,97
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,28
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,9
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,61
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",330
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",23
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",69
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,48
Երևան,Երևան / Էրեբունի,«Ա․ Ֆրանսի անվ․ ֆրանսիական կրթ.»,40
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,388
Երևան,Երևան / Կենտրոն,«Երևանի պետական համալսարան» հիմնադրամի ՍԹԵՄ դպրոց,63
Երևան,Երևան / Կենտրոն,«Էսոլարմ» ՍՊԸ,14
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,59
