Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,63
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,58
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,10
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,159
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,18
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,20
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,11
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,69
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,11
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,21
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,4
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,83
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,69
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,21
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,29
Արարատ,Արարատ / Այգավան,գ. Այգավանի մ/դ,125
Արարատ,Արտաշատ / Այգեզարդ,գ. Այգեզարդի Ա.Ղարիբյանի անվ. մ/դ,143
Արմավիր,Վաղարշապատ / Այգեկ,գ. Այգեկի Մուշեղ Մովսիսյանի անվ. մ/դ,113
Լոռի,Ալավերդի / Այգեհատ,գ. Այգեհատի հմ/դ,4
Տավուշ,Իջևան / Այգեհովիտ,գ. Այգեհովիտի մ/դ,100
Տավուշ,Տավուշ / Այգեձոր,գ. Այգեձորի մ/դ,71
Արմավիր,Վաղարշապատ / Այգեշատ,գ. Այգեշատի մ/դ,77
Արմավիր,Արմավիր / Այգեշատ,գ. Այգեշատի Յու.Հովհաննիսյանի անվ. մ/դ,67
Արարատ,Արտաշատ / Այգեպատ,գ. Այգեպատի մ/դ,63
Արարատ,Արտաշատ / Այգեստան,գ. Այգեստանի մ/դ,128
Արմավիր,Արմավիր / Այգևան,գ. Այգեվանի Մ.Խորենացու անվ. մ/դ,77
Գեղարքունիք,Ճամբարակ / Այգուտ,գ. Այգուտի մ/դ,26
Արարատ,Մասիս / Այնթապ,գ. Այնթապի Բյուզանդ Մարգարյանի անվ. թիվ 2 մ/դ,393
Արարատ,Մասիս / Այնթապ,գ. Այնթապի թիվ 1 մ/դ,245
Տավուշ,Նոյեմբերյան / Այրում,գ. Այրումի Հ.Մալինյանի անվ. մ/դ,55
Գեղարքունիք,Վարդենիս / Այրք,գ. Այրքի մ/դ,12
Սյունիք,Սիսիան / Անգեղակոթ,գ. Անգեղակոթի մ/դ,38
Շիրակ,Անի / Անիպեմզա,գ. Անիպեմզայի մ/դ,19
Շիրակ,Արթիկ / Անուշավան,գ. Անուշավանի մ/դ,83
Գեղարքունիք,Ճամբարակ / Անտառամեջ,գ. Անտառամեջի մ/դ,15
Լոռի,Գուգարք / Անտառամուտ,գ. Անտառամուտի հմ/դ,4
Արագածոտն,Աշտարակ / Անտառուտ,գ. Անտառուտի մ/դ,38
Արագածոտն,Թալին / Աշնակ,գ. Աշնակի Գ.Չաուշի անվ. մ/դ,55
Սյունիք,Սիսիան / Աշոտավան,գ. Աշոտավանի մ/դ,20
Շիրակ,Աշոցք / Աշոցք,գ. Աշոցքի մ/դ,99
Տավուշ,Իջևան / Աչաջուր,գ. Աչաջրի մ/դ,169
Արմավիր,Վաղարշապատ / Ապագա,գ. Ապագայի մ/դ,66
Արմավիր,Վաղարշապատ / Առատաշեն,գ. Առատաշենի Գ. Գրիգորյանի անվ. մ/դ,120
Շիրակ,Ախուրյան / Առափի,գ. Առափիի մ/դ,27
Կոտայք,Աբովյան / Առինջ,գ. Առինջի Կ.Ծառուկյանի անվ. մ/դ,202
Գեղարքունիք,Մարտունի / Աստղաձոր,գ. Աստղաձորի մ/դ,201
Գեղարքունիք,Վարդենիս / Ավազան,գ. Ավազանի հմ/դ,8
Արագածոտն,Աշտարակ / Ավան,գ. Ավանի Ա.Սերոբի անվ. մ/դ,35
Արարատ,Արարատ / Ավշար,գ. Ավշարի մ/դ,132
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 1 մ/դ,156
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 2 մ/դ,128
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 1 մ/դ,82
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 2 մ/դ,41
Արմավիր,Վաղարշապատ / Արագած,գ. Արագածի Մ.Մեխակյանի անվ. մ/դ,121
Արագածոտն,Աշտարակ / Արագածոտն,գ. Արագածոտնի մ/դ,35
Կոտայք,Նաիրի / Արագյուղ,"գ. Արագյուղի ""Տիգրանակերտ կրթարան"" մ/դ",34
Արմավիր,Արմավիր / Արազափ,գ. Արազափի Թ. Հուրյանի անվ. մ/դ,64
Արարատ,Արարատ / Արալեզ,գ. Արալեզի մ/դ,131
Կոտայք,Աբովյան / Արամուս,գ. Արամուսի Վ.Առաքելյանի անվ. մ/դ,194
Արագածոտն,Ապարան / Արայի,գ. Արայի հմ/դ,12
Սյունիք,Գորիս / Արավուս,գ. Արավուսի տ/դ,3
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 1 մ/դ,127
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 2 մ/դ,115
Արարատ,Արարատ / Արարատ,գ. Արարատի թիվ 3 մ/դ,105
Արարատ,Արտաշատ / Արաքսավան,գ. Արաքսավանի մ/դ,57
Արմավիր,Արմավիր / Արաքս,գ. Արաքսի Զ.Ավետիսյանի անվ. մ/դ,60
Արմավիր,Վաղարշապատ / Արաքս,գ. Արաքսի մ/դ,57
Արարատ,Մասիս / Արբաթ,գ. Արբաթի Հ.Զաքարյանի անվ. մ/դ,108
Արարատ,Մասիս / Արգավանդ,գ. Արգավանդի մ/դ,106
Արմավիր,Արմավիր / Արգավանդ,գ. Արգավանդի մ/դ,102
Կոտայք,Նաիրի / Արգել,գ. Արգելի Վ.Անանյանի անվ. մ/դ,157
Արմավիր,Բաղրամյան / Արգինա,գ. Արգինայի մ/դ,32
Շիրակ,Ամասիա / Արդենիս,գ. Արդենիսի հմ/դ,3
Լոռի,Ալավերդի / Արդվի,գ. Արդվու հմ/դ,4
Շիրակ,Ամասիա / Արեգնադեմ,գ. Արեգնադեմի մ/դ,28
Գեղարքունիք,Վարդենիս / Արեգունի,գ. Արեգունու մ/դ,15
Վայոց Ձոր,Եղեգնաձոր / Արենի,գ. Արենիի մ/դ,91
Կոտայք,Հրազդան / Արզական,գ. Արզականի Խ.Խաչատրյանի անվ. մ/դ,110
Կոտայք,Աբովյան / Արզնի,գ. Արզնիի մ/դ,163
Վայոց Ձոր,Վայք / Արին,գ. Արինի մ/դ,11
Լոռի,Տաշիր / Արծնի,գ. Արծնիի մ/դ,19
Տավուշ,Տավուշ / Արծվաբերդ,գ. Արծվաբերդի թիվ 2 հմ/դ,39
Տավուշ,Տավուշ / Արծվաբերդ,գ. Արծվաբերդի թիվ 1 մ/դ,83
Սյունիք,Կապան / Արծվանիկ,գ. Արծվանիկի մ/դ,31
Գեղարքունիք,Մարտունի / Արծվանիստ,գ. Արծվանիստի մ/դ,119
Տավուշ,Նոյեմբերյան / Արճիս,գ. Արճիսի մ/դ,42
Լոռի,Ստեփանավան / Արմանիս,գ. Արմանիսի հմ/դ,8
Արարատ,Արարատ / Արմաշ,գ. Արմաշի մ/դ,131
Արմավիր,Մեծամոր / Գ.Արմավիր,գ. Արմավիրի մ/դ,116
Արմավիր,Վաղարշապատ / Արշալույս,գ. Արշալույսի Ս.Գրիգորյանի անվ. մ/դ,171
Արագածոտն,Աշտարակ / Արուճ,գ. Արուճի մ/դ,54
Լոռի,Սպիտակ / Ղուրսալի,գ. Արջհովիտի մ/դ,10
Լոռի,Գուգարք / Արջուտ,գ. Արջուտի մ/դ,35
Վայոց Ձոր,Եղեգնաձոր / Արտաբույնք,գ. Արտաբույնքի մ/դ,33
Արմավիր,Բաղրամյան / Արտամետ,գ. Արտամետի Գուրգեն Մարգարյանի անվ. մ/դ,14
Գեղարքունիք,Ճամբարակ / Արտանիշ,գ. Արտանիշի մ/դ,32
Արագածոտն,Աշտարակ / Արտաշատավան,գ. Արտաշավանի մ/դ,44
Կոտայք,Հրազդան / Արտավազ,գ. Արտավազի մ/դ,19
Վայոց Ձոր,Վայք / Արտավան,գ. Արտավանի մ/դ,7
Արագածոտն,Թալին / Արտենի,գ. Արտենիի թիվ 1 մ/դ,92
Արագածոտն,Թալին / Արտենի,գ. Արտենիի հիմնական դպրոց,46
Արմավիր,Վաղարշապատ / Արտիմետ,գ. Արտիմետի մ/դ,82
Շիրակ,Աշոցք / Արփենի,գ. Արփենիի մ/դ,15
Վայոց Ձոր,Եղեգնաձոր / Արփի,գ. Արփիի Վ. Լևոնյանի անվան մ/դ,47
Գեղարքունիք,Վարդենիս / Արփունք,գ. Արփունքի մ/դ,8
Արարատ,Մասիս / Արևաբույր,գ. Արևաբույրի Հ.Թադևոսյանի անվ. մ/դ,81
Արմավիր,Բաղրամյան / Արևադաշտ,գ. Արևադաշտի մ/դ,20
Լոռի,Ալավերդի / Արևածագ,գ. Արևածագի Կ․ Մելիքսեթյան անվ․ մ/դ,34
Արմավիր,Վաղարշապատ / Արևաշատ,գ. Արևաշատի մ/դ,73
Լոռի,Սպիտակ / Արևաշող,գ. Արևաշողի մ/դ,101
Շիրակ,Ախուրյան / Արևիկ,գ. Արևիկի մ/դ,85
Արմավիր,Արմավիր / Արևիկ,գ. Արևիկի մ/դ,118
Սյունիք,Սիսիան / Արևիս,գ. Արևիսի հմ/դ,2
Արարատ,Արտաշատ / Արևշատ,գ. Արևշատի մ/դ,87
Արագածոտն,Ապարան / Ափնագյուղ,գ. Ափնայի մ/դ,25
Լոռի,Ալավերդի / Աքորի,գ. Աքորու մ/դ,110
Արմավիր,Բաղրամյան / Բագարան,գ. Բագարանի մ/դ,26
Շիրակ,Անի / Բագրավան,գ. Բագրավանի մ/դ,28
Տավուշ,Նոյեմբերյան / Բագրատաշեն,գ. Բագրատաշենի թիվ 2 հմ/դ,47
Տավուշ,Նոյեմբերյան / Բագրատաշեն,գ. Բագրատաշենի Մ․ Մագուլյանի անվան թիվ 1 մ/դ,86
Արագածոտն,Աշտարակ / Բազմաղբյուր,գ. Բազմաղբյուրի մ/դ,26
Լոռի,Գուգարք / Բազում,գ. Բազումի մ/դ,28
Կոտայք,Աբովյան / Բալահովիտ,գ. Բալահովիտի Ի.Վիրաբյանի անվ. մ/դ,155
Սյունիք,Սիսիան / Բալաք,գ. Բալաքի տ/դ,1
Տավուշ,Նոյեմբերյան / Բաղանիս,գ. Բաղանիսի մ/դ,21
Արմավիր,Բաղրամյան / Բաղրամյան,գ. Բաղրամյան մ/դ,43
Արմավիր,Վաղարշապատ / Բաղրամյան,գ. Բաղրամյանի մ/դ,113
Արարատ,Արտաշատ / Բաղրամյան,գ. Բաղրամյանի մ/դ,181
Արմավիր,Արմավիր / Բամբակաշատ,գ. Բամբակաշատի մ/դ,132
Շիրակ,Ամասիա / Բանդիվան,գ. Բանդիվանի մ/դ,14
Շիրակ,Աշոցք / Բավրա,գ. Բավրայի մ/դ,18
Տավուշ,Նոյեմբերյան / Բարեկամավան,գ. Բարեկամավանի մ/դ,1
Արարատ,Արտաշատ / Բարձրաշեն,գ. Բարձրաշենի մ/դ,89
Սյունիք,Գորիս / Բարձրավան,գ. Բարձրավանի մ/դ,5
Վայոց Ձոր,Վայք / Բարձրունի,գ. Բարձրունու մ/դ,5
Շիրակ,Ախուրյան / Բենիամին,գ. Բենիամինի մ/դ,25
Շիրակ,Ամասիա / Բերդաշեն,գ. Բերդաշենի մ/դ,7
Տավուշ,Նոյեմբերյան / Բերդավան,գ. Բերդավանի մ/դ,144
Արարատ,Արտաշատ / Բերդիկ,գ. Բերդիկի մ/դ,28
Տավուշ,Իջևան / Բերքաբեր,գ. Բերքաբերի մ/դ,31
Արմավիր,Արմավիր / Բերքաշատ,գ. Բերքաշատի մ/դ,31
Արագածոտն,Արագած / Բերքառատ,գ. Բերքառատի մ/դ,28
Լոռի,Տաշիր / Բլագոդարնոյե,գ. Բլագոդարնոյեի հմ/դ,18
Արագածոտն,Աշտարակ / Բյուրական,գ. Բյուրականի Հ.Թումանյանի անվ. մ/դ,189
Շիրակ,Ամասիա / Բյուրակն,գ. Բյուրակնի մ/դ,26
Արարատ,Արտաշատ / Բյուրավան,գ. Բյուրավանի մ/դ,54
Սյունիք,Սիսիան / Բնունիս,գ. Բնունիսի հմ/դ,8
Լոռի,Ստեփանավան / Բովաձոր,գ. Բովաձորի մ/դ,6
Կոտայք,Նաիրի / Բուժական,գ. Բուժականի մ/դ,61
Կոտայք,Հրազդան / Բջնի,գ. Բջնիի Հ.Թումանյանի անվ. մ/դ,145
Սյունիք,Սիսիան / Բռնակոթ,գ. Բռնակոթի մ/դ,70
Գեղարքունիք,Սևան / Գագարին,գ. Գագարինի մ/դ,78
Արմավիր,Վաղարշապատ / Գայ,գ. Գայի մ/դ,180
Գեղարքունիք,Գավառ / Գանձակ,գ. Գանձակի թիվ 1 մ/դ,79
Գեղարքունիք,Գավառ / Գանձակ,գ. Գանձակի հ․ 2 մ/դ,60
Տավուշ,Իջևան / Գանձաքար,գ. Գանձաքարի մ/դ,155
Արագածոտն,Թալին / Գառնահովիտ,գ. Գառնահովիտի մ/դ,7
Շիրակ,Ամասիա / Գառնառիճ,գ. Գառնառիճի մ/դ,11
Կոտայք,Աբովյան / Գառնի Բանավան,գ. Գառնի Բանավանի հմ/դ,86
Կոտայք,Աբովյան / Գառնի,գ. Գառնիի Ա․Հակոբյանի անվ․ թիվ 1 հմ/դ,346
Լոռի,Ստեփանավան / Գարգառ,գ. Գարգառի Վ.Բալայանի անվ. մ/դ,45
Կոտայք,Աբովյան / Գեղադիր,գ. Գեղադիրի մ/դ,36
