Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Արարատ,Մասիս / Դաշտավան,գ. Դաշտավանի Տոնոյանի անվ. մ/դ,203,- չունի -,- չունի -,193,10,- չունի -,- չունի -
Արարատ,Արարատ / Դաշտաքար,գ. Դաշտաքարի մ/դ,48,1,- չունի -,46,1,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Դաշտ,գ. Դաշտի մ/դ,66,- չունի -,- չունի -,64,2,- չունի -,- չունի -
Արագածոտն,Թալին / Դավթաշեն,գ. Դավթաշենի մ/դ,36,- չունի -,- չունի -,36,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Դավիթ Բեկ,գ. Դավիթբեկի մ/դ,28,- չունի -,- չունի -,24,4,- չունի -,- չունի -
Արարատ,Մասիս / Դարակերտ,գ. Դարակերտի մ/դ,153,- չունի -,- չունի -,153,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Դարբաս,գ. Դարբասի մ/դ,45,- չունի -,- չունի -,45,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Դարբնիկ,գ. Դարբնիկի մ/դ,118,3,- չունի -,92,23,- չունի -,- չունի -
Լոռի,Գուգարք / Դարպաս,գ. Դարպասի մ/դ,68,- չունի -,- չունի -,65,3,- չունի -,- չունի -
Գեղարքունիք,Սևան / Դդմաշեն,գ. Դդմաշենի մ/դ,134,1,- չունի -,129,4,- չունի -,- չունի -
Արագածոտն,Թալին / Դդմասար,գ. Դդմասարի հմ/դ,13,- չունի -,- չունի -,13,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Դեբեդավան,գ. Դեբեդավանի մ/դ,61,- չունի -,- չունի -,59,2,- չունի -,- չունի -
Լոռի,Գուգարք / Դեբետ,գ. Դեբեդի մ/դ,59,- չունի -,- չունի -,54,5,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Դեղձավան,գ. Դեղձավանի հմ/դ,23,- չունի -,- չունի -,21,2,- չունի -,- չունի -
Արարատ,Արտաշատ / Դեղձուտ,գ. Դեղձուտի մ/դ,61,- չունի -,- չունի -,56,5,- չունի -,- չունի -
Արագածոտն,Թալին / Դիան,գ. Դիանի հմ/դ,3,- չունի -,- չունի -,3,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Դիմիտրով,գ. Դիմիտրովի մ/դ,149,9,- չունի -,131,9,- չունի -,- չունի -
Արարատ,Արտաշատ / Դիտակ,գ. Դիտակի մ/դ,44,1,- չունի -,37,6,- չունի -,- չունի -
Տավուշ,Իջևան / Դիտավան,գ. Դիտավանի հմ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Դողս,գ. Դողսի մ/դ,98,1,- չունի -,94,3,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Դովեղ,գ. Դովեղի մ/դ,33,- չունի -,- չունի -,31,2,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Դպրաբակ,գ. Դպրաբակի մ/դ,44,- չունի -,- չունի -,44,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Դսեղ,գ. Դսեղի Հ.Թումանյանի անվ. մ/դ,90,- չունի -,- չունի -,83,7,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Դրախտիկ,գ. Դրախտիկի մ/դ,88,- չունի -,- չունի -,86,2,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Ելփին,գ. Ելփինի մ/դ,46,- չունի -,- չունի -,46,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Եղեգ,գ. Եղեգի մ/դ,27,1,- չունի -,24,2,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Եղեգիս,գ. Եղեգիսի մ/դ,21,- չունի -,- չունի -,20,1,- չունի -,- չունի -
Արարատ,Վեդի / Եղեգնավան,գ. Եղեգնավանի մ/դ,104,- չունի -,- չունի -,95,9,- չունի -,- չունի -
Արմավիր,Արմավիր / Եղեգնուտ,գ. Եղեգնուտի մ/դ,127,- չունի -,- չունի -,125,2,- չունի -,- չունի -
Լոռի,Գուգարք / Եղեգնուտ,գ. Եղեգնուտի մ/դ,38,- չունի -,- չունի -,38,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Եղիպատրուշ,գ. Եղիպատրուշի մ/դ,54,- չունի -,- չունի -,50,4,- չունի -,- չունի -
Արագածոտն,Թալին / Եղնիկ,գ. Եղնիկի հմ/դ,17,- չունի -,- չունի -,16,1,- չունի -,- չունի -
Սյունիք,Կապան / Եղվարդ,գ. Եղվարդի մ/դ,15,- չունի -,- չունի -,11,4,- չունի -,- չունի -
Տավուշ,Իջևան / Ենոքավան,գ. Ենոքավանի մ/դ,27,- չունի -,- չունի -,27,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Երազգավորս,գ. Երազգավորսի մ/դ,101,- չունի -,- չունի -,101,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Երանոս,գ. Երանոսի հ․ 1 մ/դ,150,- չունի -,- չունի -,148,2,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Երանոս,գ. Երանոսի հ․ 2 մ/դ,104,- չունի -,- չունի -,104,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Երասխահուն,գ. Երասխահունի Մ. Գևորգյանի անվ. մ/դ,105,- չունի -,- չունի -,103,2,- չունի -,- չունի -
Արարատ,Արարատ / Երասխ,գ. Երասխի մ/դ,61,- չունի -,- չունի -,59,2,- չունի -,- չունի -
Արագածոտն,Ապարան / Երնջատափ,գ. Երնջատապի մ/դ,52,- չունի -,- չունի -,48,4,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Երվանդաշատ,գ. Երվանդաշատի մ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Զանգակատուն,գ. Զանգակատան մ/դ,64,- չունի -,- չունի -,63,1,- չունի -,- չունի -
Կոտայք,Աբովյան / Զառ,գ. Զառի Ժ.Սարգսյանի անվ. մ/դ,114,- չունի -,- չունի -,103,11,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Զառիթափ,գ. Զառիթափի Ա.Մելիքյանի անվ. մ/դ,88,- չունի -,- չունի -,85,3,- չունի -,- չունի -
Արմավիր,Արմավիր / Զարթոնք,գ. Զարթոնքի մ/դ,157,- չունի -,- չունի -,155,2,- չունի -,- չունի -
Արագածոտն,Թալին / Զարինջա,գ. Զարինջայի մ/դ,35,- չունի -,- չունի -,34,1,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Զոլաքար,գ. Զոլաքարի Ա.Վարդանյանի անվ. հ․ 2 մ/դ,175,2,- չունի -,171,2,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Զոլաքար,գ. Զոլաքարի հ․ 1 մ/դ,92,- չունի -,- չունի -,92,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Սևան / Զովաբեր,գ. Զովաբերի մ/դ,107,- չունի -,- չունի -,97,10,- չունի -,- չունի -
Արագածոտն,Թալին / Զովասար,գ. Զովասարի մ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Կոտայք,Նաիրի / Զովունի,գ. Զովունիի Ռ.Բաղդասարյանի անվ. մ/դ,436,4,- չունի -,405,27,- չունի -,- չունի -
Կոտայք,Աբովյան / Զովք,գ. Զովքի Գ.Շահինյանի անվ. մ/դ,58,- չունի -,- չունի -,58,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Զորական,գ. Զորականի մ/դ,54,- չունի -,- չունի -,41,13,- չունի -,- չունի -
Շիրակ,Ամասիա / Զորակերտ,գ. Զորակերտի մ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Զորակ,գ. Զորակի Մոնթե Մելքոնյանի անվան մ/դ,143,- չունի -,- չունի -,121,22,- չունի -,- չունի -
Կոտայք,Նաիրի / Զորավան,գ. Զորավանի մ/դ,116,- չունի -,- չունի -,111,5,- չունի -,- չունի -
Շիրակ,Աշոցք / Զույգաղբյուր,գ. Զույգաղբյուրի մ/դ,27,- չունի -,- չունի -,25,2,- չունի -,- չունի -
Արագածոտն,Թալին / Թաթուլ,գ. Թաթուլի մ/դ,49,- չունի -,- չունի -,46,3,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Թաիրով,գ. Թաիրովի մ/դ,298,3,- չունի -,282,12,1,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Թառաթումբ,գ. Թառաթումբի մ/դ,23,- չունի -,- չունի -,22,1,- չունի -,- չունի -
Սյունիք,Սիսիան / Թասիկ,գ. Թասիկի հմ/դ,9,- չունի -,- չունի -,8,1,- չունի -,- չունի -
Շիրակ,Աշոցք / Թավշուտ,գ. Թավշուտի մ/դ,20,- չունի -,- չունի -,20,- չունի -,- չունի -,- չունի -
Կոտայք,Նաիրի / Թեղենիք,գ. Թեղենիքի Վ.Ջինիշյանի անվ. մ/դ,21,- չունի -,- չունի -,20,1,- չունի -,- չունի -
Տավուշ,Դիլիջան / Թեղուտ,գ. Թեղուտի մ/դ,115,- չունի -,- չունի -,115,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Թեղուտ,գ. Թեղուտի մ/դ,53,- չունի -,- չունի -,51,2,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Թթուջուր,գ. Թթուջուրի մ/դ,66,- չունի -,- չունի -,66,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Թթուջուր,գ. Թթուջրի հմ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Թլլք,գ. Թլիկի հմ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Տավուշ,Տավուշ / Իծաքար,գ. Իծաքարի հմ/դ,14,- չունի -,- չունի -,14,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Իշխանասար,գ. Իշխանասարի հմ/դ,25,- չունի -,- չունի -,23,2,- չունի -,- չունի -
Շիրակ,Անի / Իսահակյան,գ. Իսահակյանի մ/դ,59,- չունի -,- չունի -,57,2,- չունի -,- չունի -
Արագածոտն,Թալին / Իրինդ,գ. Իրինդի Մ.Քոթանյանի անվ. մ/դ,51,- չունի -,- չունի -,51,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Լանջազատ,գ. Լանջազատի մ/դ,134,2,- չունի -,127,3,1,1
Գեղարքունիք,Գավառ / Լանջաղբյուր,գ. Լանջաղբյուրի մ/դ,97,2,- չունի -,95,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Լանջառ,գ. Լանջառի հմ/դ,10,- չունի -,- չունի -,9,1,- չունի -,- չունի -
Շիրակ,Անի / Լանջիկ,գ. Լանջիկի մ/դ,41,- չունի -,- չունի -,41,- չունի -,- չունի -,- չունի -
Սյունիք,Մեղրի / Լեհվազ,գ. Լեհվազի մ/դ,31,- չունի -,- չունի -,31,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Լենուղի,գ. Լենուղու Ջիվանու անվ. մ/դ,95,- չունի -,- չունի -,95,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Լեջան,գ. Լեջանի մ/դ,52,1,- չունի -,50,1,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Լեռնագոգ,գ. Լեռնագոգի Օնիկ Փակումեանի մ/դ,183,- չունի -,- չունի -,167,16,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Լեռնակերտ,գ. Լեռնակերտի հմ/դ,17,- չունի -,- չունի -,17,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Լեռնակերտ,գ. Լեռնակերտի մ/դ,82,1,- չունի -,81,- չունի -,- չունի -,- չունի -
Լոռի,Տաշիր / Լեռնահովիտ,գ. Լեռնահովիտի մ/դ,86,3,- չունի -,73,10,- չունի -,- չունի -
Սյունիք,Կապան / Լեռնաձոր,գ. Լեռնաձորի հմ/դ,45,- չունի -,- չունի -,41,4,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Լեռնամերձ,գ. Լեռնամերձի հմ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Կոտայք,Հրազդան / Լեռնանիստ,գ. Լեռնանիստի Ս.Նազարյանի անվ. մ/դ,214,- չունի -,- չունի -,211,3,- չունի -,- չունի -
Լոռի,Սպիտակ / Լեռնանցք,գ. Լեռնանցքի մ/դ,81,2,- չունի -,77,2,- չունի -,- չունի -
Լոռի,Գուգարք / Լեռնապատի,գ. Լեռնապատի Ե.Դալլաքյանի անվ. մ/դ,115,- չունի -,- չունի -,111,4,- չունի -,- չունի -
Արագածոտն,Արագած / Լեռնապար,գ. Լեռնապարի մ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Լեռնավան,գ. Լեռնավանի մ/դ,78,1,- չունի -,76,1,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Լեռնարոտ,գ. Լեռնարոտի Գ.Միքայելյանի անվ. մ/դ,21,- չունի -,- չունի -,21,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Լեռնուտ,գ. Լեռնուտի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Լերմոնտովո,գ. Լերմոնտովոյի մ/դ,78,- չունի -,- չունի -,78,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Լիճք,գ. Լիճքի Հ. Թումանյանի անվ. մ/դ,389,4,- չունի -,385,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Լիճք,գ. Լիճքի հմ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Լծեն,գ. Լծենի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Սևան / Լճաշեն,գ. Լճաշենի մ/դ,214,- չունի -,- չունի -,203,11,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Լճավան,գ. Լճավանի Ա․Խաչատրյանի անվ․ մ/դ,29,- չունի -,- չունի -,29,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Լճափ,գ. Լճափի մ/դ,78,- չունի -,- չունի -,78,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Լճկաձոր,գ. Լճկաձորի հմ/դ,43,1,- չունի -,42,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Լոռի Բերդ,գ. Լոռի Բերդի հմ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Լոր,գ. Լորի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Լորուտ,գ. Լորուտի մ/դ,34,- չունի -,- չունի -,34,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Լուկաշեն,գ. Լուկաշինի Հ. Ավետիսյանի անվ. մ/դ,132,1,- չունի -,124,7,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Լուսագյուղ,գ. Լուսագյուղի մ/դ,49,- չունի -,- չունի -,48,1,- չունի -,- չունի -
Արագածոտն,Ապարան / Լուսագյուղ,գ. Լուսագյուղի մ/դ,64,- չունի -,- չունի -,57,7,- չունի -,- չունի -
Շիրակ,Արթիկ / Լուսակերտ,գ. Լուսակերտի մ/դ,25,- չունի -,- չունի -,25,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Լուսակն,գ. Լուսակնի միջնակարգ դպրոց,15,- չունի -,- չունի -,15,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Լուսակունք,գ. Լուսակունքի մ/դ,86,- չունի -,- չունի -,85,1,- չունի -,- չունի -
Տավուշ,Իջևան / Լուսահովիտ,գ. Լուսահովիտի հմ/դ,14,- չունի -,- չունի -,14,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Լուսաձոր,գ. Լուսաձորի հմ/դ,22,- չունի -,- չունի -,22,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Լուսաղբյուր,գ. Լուսաղբյուրի մ/դ,69,- չունի -,- չունի -,69,- չունի -,- չունի -,- չունի -
Շիրակ,Անի / Լուսաղբյուր,գ. Լուսաղբյուրի մ/դ,47,- չունի -,- չունի -,47,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Լուսաշողի,գ. Լուսաշողի մ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Լուսառատ,գ. Լուսառատի մ/դ,178,1,- չունի -,170,7,- չունի -,- չունի -
Արմավիր,Արմավիր / Խանջյան,գ. Խանջյանի Ա. Հակոբյանի անվ. մ/դ,157,- չունի -,- չունի -,155,2,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Խաչաղբյուր,գ. Խաչաղբյուրի մ/դ,39,- չունի -,- չունի -,37,2,- չունի -,- չունի -
Տավուշ,Դիլիջան / Խաչարձան,գ. Խաչարձանի մ/դ,21,- չունի -,- չունի -,19,2,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Խաչիկ,գ. Խաչիկի մ/դ,40,- չունի -,- չունի -,40,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Խաչփառ,գ. Խաչփարի մ/դ,160,1,- չունի -,123,36,- չունի -,- չունի -
Սյունիք,Գորիս / Խնածախ,Գ. Խնածախի մ/դ,28,- չունի -,- չունի -,24,4,- չունի -,- չունի -
Լոռի,Սպիտակ / Խնկոյան,գ. Խնկոյանի hմ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Խնձորեսկ,գ. Խնձորեսկի մ/դ,86,- չունի -,- չունի -,84,2,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Խնձորուտ,գ. Խնձորուտի մ/դ,49,- չունի -,- չունի -,46,3,- չունի -,- չունի -
Սյունիք,Գորիս / Խոզնավարի,գ. Խոզնավարի մ/դ,19,1,- չունի -,18,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Խոտ,գ. Խոտի մ/դ,86,- չունի -,- չունի -,86,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Խորոնք,գ. Խորոնքի մ/դ,167,- չունի -,- չունի -,160,7,- չունի -,- չունի -
Լոռի,Ալավերդի / Ծաթեր,գ. Ծաթերի հմ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծակքար,գ. Ծակքարի մ/դ,167,1,- չունի -,165,- չունի -,1,- չունի -
Լոռի,Սպիտակ / Ծաղկաբեր,գ. Ծաղկաբերի Դ.Մարտիրոսյանի անվ. մ/դ,73,- չունի -,- չունի -,73,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ծաղկալանջ,գ. Ծաղկալանջի մ/դ,114,- չունի -,- չունի -,105,9,- չունի -,- չունի -
Արագածոտն,Ծաղկահովիտ / Ծաղկահովիտ,գ. Ծաղկահովիտի մ/դ,131,- չունի -,- չունի -,130,1,- չունի -,- չունի -
Լոռի,Ալավերդի / Ծաղկաշատ,գ. Ծաղկաշատի հմ/դ,4,1,- չունի -,3,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Ծաղկաշեն,գ. Ծաղկաշենի Կ.Համբարձումյանի անվ. մ/դ,25,- չունի -,- չունի -,23,2,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Ծաղկաշեն,գ. Ծաղկաշենի մ/դ,36,- չունի -,- չունի -,36,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Ծաղկուտ,գ. Ծաղկուտի մ/դ,15,- չունի -,- չունի -,15,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Ծավ,գ. Ծավի մ/դ,13,- չունի -,- չունի -,13,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ծափաթաղ,գ. Ծափաթաղի Հ. Աբրահամյանի անվ. մ/դ,12,- չունի -,- չունի -,8,4,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ծիածան,գ. Ծիածանի մ/դ,153,- չունի -,- չունի -,141,12,- չունի -,- չունի -
Արագածոտն,Արագած / Ծիլքար,գ. Ծիլքարի մ/դ,45,- չունի -,- չունի -,45,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Ծղուկ,գ. Ծղուկի մ/դ,11,- չունի -,- չունի -,10,1,- չունի -,- չունի -
Գեղարքունիք,Սևան / Ծովագյուղ,գ. Ծովագյուղի մ/դ,294,- չունի -,- չունի -,294,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Ծովազարդ,գ. Ծովազարդի մ/դ,161,- չունի -,- չունի -,161,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ծովակ,գ. Ծովակի մ/դ,157,- չունի -,- չունի -,156,1,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծովասար,գ. Ծովասարի Բ. Մուրադյանի անվ. մ/դ,226,- չունի -,- չունի -,226,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծովինար,գ. Ծովինարի Արծրուն Խաչատրյանի անվ. մ/դ,153,- չունի -,- չունի -,153,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծովինար,գ. Ծովինարի տ/դ,13,- չունի -,- չունի -,13,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Կաթնաղբյուր,գ. Կաթնաղբյուրի հմ/դ,34,- չունի -,- չունի -,33,1,- չունի -,- չունի -
Արագածոտն,Թալին / Կաթնաղբյուր,գ. Կաթնաղբյուրի Մ.Գալշոյանի անվ. մ/դ,78,1,- չունի -,75,2,- չունի -,- չունի -
Լոռի,Ստեփանավան / Կաթնաղբյուր,գ. Կաթնաղբյուրի մ/դ,51,- չունի -,- չունի -,51,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Կաթնաջուր,գ. Կաթնաջրի Ս. Սեյրանյանի անվ. մ/դ,78,- չունի -,- չունի -,78,- չունի -,- չունի -,- չունի -
Լոռի,Տաշիր / Կաթնառատ,գ. Կաթնառատի մ/դ,52,- չունի -,- չունի -,52,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Կալավան,գ. Կալավանի մ/դ,8,- չունի -,- չունի -,6,2,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Կախակն,գ. Կախակնի մ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Կաճաճկուտ,գ. Կաճաճկուտի հմ/դ,14,- չունի -,- չունի -,14,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Կամարիս,գ. Կամարիսի մ/դ,127,- չունի -,- չունի -,126,1,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կամո,գ. Կամոյի մ/դ,81,1,- չունի -,80,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Կայքի,գ. Կայքի մ/դ,25,- չունի -,- չունի -,23,2,- չունի -,- չունի -
Արարատ,Արտաշատ / Կանաչուտ,գ. Կանաչուտի Գ.Եփրեմյանի անվ. մ/դ,80,- չունի -,- չունի -,74,6,- չունի -,- չունի -
Արագածոտն,Թալին / Կանչ,գ. Կանչի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Կապուտան,գ. Կապուտանի մ/դ,111,- չունի -,- չունի -,107,4,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կապս,գ. Կապսի մ/դ,38,- չունի -,- չունի -,38,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կառնուտ,գ. Կառնուտի մ/դ,71,- չունի -,- չունի -,71,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Կարբի,գ. Կարբիի մ/դ,390,- չունի -,- չունի -,384,6,- չունի -,- չունի -
Կոտայք,Հրազդան / Կարենիս,գ. Կարենիսի մ/դ,37,- չունի -,- չունի -,34,3,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Կարին,գ. Կարինի մ/դ,71,- չունի -,- չունի -,62,9,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Կարճաղբյուր,գ. Կարճաղբյուրի Ա. Գրիգորյանի անվ. մ/դ,120,- չունի -,- չունի -,119,- չունի -,1,- չունի -
Սյունիք,Մեղրի / Կարճևան,գ. Կարճևանի հմ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Կարմիր Աղեգի,գ. Կարմիր Աղեգու հմ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Կարմիրգյուղ,գ. Կարմիրգյուղի թիվ 2 մ/դ,182,1,- չունի -,181,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Կարմիրգյուղ,գ. Կարմիրգյուղի հ․ 1 մ/դ,208,- չունի -,- չունի -,206,2,- չունի -,- չունի -
Արագածոտն,Թալին / Կարմրաշեն,գ. Կարմրաշենի Ա. Ասլանյանի անվան մ/դ,20,- չունի -,- չունի -,20,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Կարմրաշեն,գ. Կարմրաշենի մ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
