Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2023  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2023  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2023  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2023  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,59025
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,44
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,34
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,13
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,4
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,27
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,11
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,6
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,16
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",105
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",32
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",54
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,26
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,178
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,15
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,29
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,131
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,10
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,68
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,8
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,41
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,14
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,7
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,12
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,28
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,24
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,11
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,37
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,22
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,45
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,95
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,9
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,61
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,10
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,8
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,13
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,46
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,4
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,2
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,7
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,15
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,59
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,56
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,6
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,48
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,9
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,19
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,13
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,54
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,52
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,2
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,28
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,25
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,7
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,54
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,7
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,4
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,4
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,26
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,8
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,1
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,6
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,22
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,26
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,10
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,12
Արարատ,Արարատ / Այգավան,գ. Այգավանի մ/դ,69
Արարատ,Արտաշատ / Այգեզարդ,գ. Այգեզարդի Ա.Ղարիբյանի անվ. մ/դ,72
Արմավիր,Վաղարշապատ / Այգեկ,գ. Այգեկի Մուշեղ Մովսիսյանի անվ. մ/դ,35
Տավուշ,Իջևան / Այգեհովիտ,գ. Այգեհովիտի մ/դ,61
Տավուշ,Տավուշ / Այգեձոր,գ. Այգեձորի մ/դ,23
Արմավիր,Վաղարշապատ / Այգեշատ,գ. Այգեշատի մ/դ,34
