Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2024  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2024  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2024  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2024  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,35560
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,20
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,17
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,14
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,1
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,21
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,2
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,3
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,11
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",65
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",15
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",30
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,10
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,117
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,13
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,9
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,75
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,3
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,40
