Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2021  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,92374
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,42
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,43
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,32
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,4
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,54
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,9
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,7
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,22
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",162
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",21
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",55
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,32
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,304
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,29
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,31
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,13
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,209
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,5
