Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2022  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2022  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2022  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2022  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,80096
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,58
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,44
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,20
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,7
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,41
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,14
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,6
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,19
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",141
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",37
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",66
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,39
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,241
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,23
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,42
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,170
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,12
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,81
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,10
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,19
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,11
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,18
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,39
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,33
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,17
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,45
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,28
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,68
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,130
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,17
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,70
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,16
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,10
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,1
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,20
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,59
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,7
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,2
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,9
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,20
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,79
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,85
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,9
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,69
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,14
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,25
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,62
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,78
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,16
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,4
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,34
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,33
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,9
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,71
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,11
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,10
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,5
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,38
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,8
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,2
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,11
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,1
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,35
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,37
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,12
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,16
Արարատ,Արարատ / Այգավան,գ. Այգավանի մ/դ,96
Արարատ,Արտաշատ / Այգեզարդ,գ. Այգեզարդի Ա.Ղարիբյանի անվ. մ/դ,95
Արմավիր,Վաղարշապատ / Այգեկ,գ. Այգեկի Մուշեղ Մովսիսյանի անվ. մ/դ,52
Լոռի,Ալավերդի / Այգեհատ,գ. Այգեհատի հմ/դ,2
Տավուշ,Իջևան / Այգեհովիտ,գ. Այգեհովիտի մ/դ,77
