Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Արագածոտն,Ապարան / Թթուջուր,գ. Թթուջրի հմ/դ,8,- չունի -,- չունի -,8,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Թլլք,գ. Թլիկի հմ/դ,6,- չունի -,- չունի -,6,- չունի -,- չունի -,- չունի -
Տավուշ,Տավուշ / Իծաքար,գ. Իծաքարի հմ/դ,15,- չունի -,- չունի -,15,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Իշխանասար,գ. Իշխանասարի հմ/դ,25,- չունի -,- չունի -,22,3,- չունի -,- չունի -
Շիրակ,Անի / Իսահակյան,գ. Իսահակյանի մ/դ,55,- չունի -,- չունի -,54,1,- չունի -,- չունի -
Արագածոտն,Թալին / Իրինդ,գ. Իրինդի Մ.Քոթանյանի անվ. մ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Լանջազատ,գ. Լանջազատի մ/դ,88,- չունի -,- չունի -,85,3,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Լանջաղբյուր,գ. Լանջաղբյուրի մ/դ,109,- չունի -,- չունի -,109,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Լանջառ,գ. Լանջառի հմ/դ,9,- չունի -,- չունի -,6,3,- չունի -,- չունի -
Շիրակ,Անի / Լանջիկ,գ. Լանջիկի մ/դ,37,- չունի -,- չունի -,36,1,- չունի -,- չունի -
Սյունիք,Մեղրի / Լեհվազ,գ. Լեհվազի մ/դ,35,- չունի -,- չունի -,34,1,- չունի -,- չունի -
Արմավիր,Արմավիր / Լենուղի,գ. Լենուղու Ջիվանու անվ. մ/դ,100,- չունի -,- չունի -,100,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Լեջան,գ. Լեջանի մ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Լեռնագոգ,գ. Լեռնագոգի Օնիկ Փակումեանի մ/դ,169,- չունի -,- չունի -,145,24,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Լեռնակերտ,գ. Լեռնակերտի հմ/դ,15,2,- չունի -,13,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Լեռնակերտ,գ. Լեռնակերտի մ/դ,69,1,- չունի -,68,- չունի -,- չունի -,- չունի -
Լոռի,Տաշիր / Լեռնահովիտ,գ. Լեռնահովիտի մ/դ,89,1,- չունի -,66,22,- չունի -,- չունի -
Սյունիք,Կապան / Լեռնաձոր,գ. Լեռնաձորի հմ/դ,29,- չունի -,- չունի -,28,1,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Լեռնամերձ,գ. Լեռնամերձի հմ/դ,11,- չունի -,- չունի -,11,- չունի -,- չունի -,- չունի -
Կոտայք,Հրազդան / Լեռնանիստ,գ. Լեռնանիստի Ս.Նազարյանի անվ. մ/դ,180,1,- չունի -,177,2,- չունի -,- չունի -
Լոռի,Սպիտակ / Լեռնանցք,գ. Լեռնանցքի մ/դ,85,1,- չունի -,81,3,- չունի -,- չունի -
Լոռի,Գուգարք / Լեռնապատի,գ. Լեռնապատի Ե.Դալլաքյանի անվ. մ/դ,95,- չունի -,- չունի -,94,1,- չունի -,- չունի -
Արագածոտն,Արագած / Լեռնապար,գ. Լեռնապարի մ/դ,26,- չունի -,- չունի -,26,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Լեռնավան,գ. Լեռնավանի մ/դ,65,1,- չունի -,64,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Լեռնարոտ,գ. Լեռնարոտի Գ.Միքայելյանի անվ. մ/դ,18,- չունի -,- չունի -,18,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Լեռնուտ,գ. Լեռնուտի մ/դ,6,1,- չունի -,5,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Լերմոնտովո,գ. Լերմոնտովոյի մ/դ,74,- չունի -,- չունի -,74,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Լիճք,գ. Լիճքի Հ. Թումանյանի անվ. մ/դ,338,1,- չունի -,335,2,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Լիճք,գ. Լիճքի հմ/դ,24,- չունի -,- չունի -,23,1,- չունի -,- չունի -
Սյունիք,Սիսիան / Լծեն,գ. Լծենի հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Սևան / Լճաշեն,գ. Լճաշենի մ/դ,204,- չունի -,- չունի -,195,9,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Լճավան,գ. Լճավանի Ա․Խաչատրյանի անվ․ մ/դ,21,1,- չունի -,20,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Լճափ,գ. Լճափի մ/դ,51,- չունի -,- չունի -,51,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Լճկաձոր,գ. Լճկաձորի հմ/դ,47,1,- չունի -,46,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Լոռի Բերդ,գ. Լոռի Բերդի հմ/դ,14,- չունի -,- չունի -,14,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Լոր,գ. Լորի մ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Լորուտ,գ. Լորուտի մ/դ,40,- չունի -,- չունի -,40,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Լուկաշեն,գ. Լուկաշինի Հ. Ավետիսյանի անվ. մ/դ,125,- չունի -,- չունի -,112,13,- չունի -,- չունի -
Արագածոտն,Ապարան / Լուսագյուղ,գ. Լուսագյուղի մ/դ,59,- չունի -,- չունի -,56,3,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Լուսագյուղ,գ. Լուսագյուղի մ/դ,57,2,- չունի -,55,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Լուսակերտ,գ. Լուսակերտի մ/դ,25,- չունի -,- չունի -,25,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Լուսակն,գ. Լուսակնի միջնակարգ դպրոց,16,1,- չունի -,15,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Լուսակունք,գ. Լուսակունքի մ/դ,95,1,- չունի -,92,2,- չունի -,- չունի -
Տավուշ,Իջևան / Լուսահովիտ,գ. Լուսահովիտի հմ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Լուսաձոր,գ. Լուսաձորի հմ/դ,9,1,- չունի -,8,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Լուսաղբյուր,գ. Լուսաղբյուրի մ/դ,66,1,- չունի -,65,- չունի -,- չունի -,- չունի -
Շիրակ,Անի / Լուսաղբյուր,գ. Լուսաղբյուրի մ/դ,43,- չունի -,- չունի -,42,1,- չունի -,- չունի -
Արարատ,Արարատ / Լուսաշողի,գ. Լուսաշողի մ/դ,33,- չունի -,- չունի -,33,- չունի -,- չունի -,- չունի -
Արարատ,Արարատ / Լուսառատ,գ. Լուսառատի մ/դ,145,1,- չունի -,135,9,- չունի -,- չունի -
Արմավիր,Արմավիր / Խանջյան,գ. Խանջյանի Ա. Հակոբյանի անվ. մ/դ,108,- չունի -,- չունի -,104,3,1,- չունի -
Գեղարքունիք,Վարդենիս / Խաչաղբյուր,գ. Խաչաղբյուրի մ/դ,40,- չունի -,- չունի -,40,- չունի -,- չունի -,- չունի -
Տավուշ,Դիլիջան / Խաչարձան,գ. Խաչարձանի մ/դ,25,- չունի -,- չունի -,25,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Խաչիկ,գ. Խաչիկի մ/դ,39,- չունի -,- չունի -,39,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Խաչփառ,գ. Խաչփարի մ/դ,146,- չունի -,- չունի -,110,36,- չունի -,- չունի -
Սյունիք,Գորիս / Խնածախ,Գ. Խնածախի մ/դ,21,- չունի -,- չունի -,21,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Խնկոյան,գ. Խնկոյանի hմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Խնձորեսկ,գ. Խնձորեսկի մ/դ,102,- չունի -,- չունի -,102,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Խնձորուտ,գ. Խնձորուտի մ/դ,41,1,- չունի -,39,1,- չունի -,- չունի -
Սյունիք,Գորիս / Խոզնավարի,գ. Խոզնավարի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Խոտ,գ. Խոտի մ/դ,88,- չունի -,- չունի -,88,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Խորոնք,գ. Խորոնքի մ/դ,161,- չունի -,- չունի -,153,8,- չունի -,- չունի -
Լոռի,Ալավերդի / Ծաթեր,գ. Ծաթերի հմ/դ,11,- չունի -,- չունի -,11,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծակքար,գ. Ծակքարի մ/դ,169,1,- չունի -,168,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Ծաղկաբեր,գ. Ծաղկաբերի Դ.Մարտիրոսյանի անվ. մ/դ,63,- չունի -,- չունի -,60,3,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ծաղկալանջ,գ. Ծաղկալանջի մ/դ,95,- չունի -,- չունի -,86,9,- չունի -,- չունի -
Արագածոտն,Ծաղկահովիտ / Ծաղկահովիտ,գ. Ծաղկահովիտի մ/դ,98,- չունի -,- չունի -,96,2,- չունի -,- չունի -
Լոռի,Ալավերդի / Ծաղկաշատ,գ. Ծաղկաշատի հմ/դ,5,1,- չունի -,4,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Ծաղկաշեն,գ. Ծաղկաշենի Կ.Համբարձումյանի անվ. մ/դ,33,- չունի -,- չունի -,30,3,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Ծաղկաշեն,գ. Ծաղկաշենի մ/դ,30,- չունի -,- չունի -,30,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Ծաղկուտ,գ. Ծաղկուտի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Սյունիք,Կապան / Ծավ,գ. Ծավի մ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ծափաթաղ,գ. Ծափաթաղի Հ. Աբրահամյանի անվ. մ/դ,11,- չունի -,- չունի -,8,3,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ծիածան,գ. Ծիածանի մ/դ,139,- չունի -,- չունի -,121,18,- չունի -,- չունի -
Արագածոտն,Արագած / Ծիլքար,գ. Ծիլքարի մ/դ,37,- չունի -,- չունի -,37,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Ծղուկ,գ. Ծղուկի մ/դ,11,- չունի -,- չունի -,10,1,- չունի -,- չունի -
Գեղարքունիք,Սևան / Ծովագյուղ,գ. Ծովագյուղի մ/դ,261,2,- չունի -,259,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Ծովազարդ,գ. Ծովազարդի մ/դ,126,- չունի -,- չունի -,126,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ծովակ,գ. Ծովակի մ/դ,114,- չունի -,- չունի -,113,1,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծովասար,գ. Ծովասարի Բ. Մուրադյանի անվ. մ/դ,174,- չունի -,- չունի -,174,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծովինար,գ. Ծովինարի Արծրուն Խաչատրյանի անվ. մ/դ,141,1,- չունի -,140,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ծովինար,գ. Ծովինարի տ/դ,13,- չունի -,- չունի -,13,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Կաթնաղբյուր,գ. Կաթնաղբյուրի հմ/դ,41,- չունի -,- չունի -,39,2,- չունի -,- չունի -
Արագածոտն,Թալին / Կաթնաղբյուր,գ. Կաթնաղբյուրի Մ.Գալշոյանի անվ. մ/դ,67,- չունի -,- չունի -,64,3,- չունի -,- չունի -
Լոռի,Ստեփանավան / Կաթնաղբյուր,գ. Կաթնաղբյուրի մ/դ,54,- չունի -,- չունի -,54,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Կաթնաջուր,գ. Կաթնաջրի Ս. Սեյրանյանի անվ. մ/դ,84,- չունի -,- չունի -,84,- չունի -,- չունի -,- չունի -
Լոռի,Տաշիր / Կաթնառատ,գ. Կաթնառատի մ/դ,61,- չունի -,- չունի -,61,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Կալավան,գ. Կալավանի մ/դ,12,- չունի -,- չունի -,8,4,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Կախակն,գ. Կախակնի մ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Կաճաճկուտ,գ. Կաճաճկուտի հմ/դ,13,- չունի -,- չունի -,13,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Կամարիս,գ. Կամարիսի մ/դ,145,- չունի -,- չունի -,140,5,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կամո,գ. Կամոյի մ/դ,80,- չունի -,- չունի -,80,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Կայքի,գ. Կայքի մ/դ,21,1,- չունի -,20,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Կանաչուտ,գ. Կանաչուտի Գ.Եփրեմյանի անվ. մ/դ,59,- չունի -,- չունի -,55,4,- չունի -,- չունի -
Արագածոտն,Թալին / Կանչ,գ. Կանչի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Կապուտան,գ. Կապուտանի մ/դ,92,- չունի -,- չունի -,90,2,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կապս,գ. Կապսի մ/դ,35,- չունի -,- չունի -,35,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կառնուտ,գ. Կառնուտի մ/դ,62,1,- չունի -,61,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Կարբի,գ. Կարբիի մ/դ,352,2,- չունի -,343,7,- չունի -,- չունի -
Կոտայք,Հրազդան / Կարենիս,գ. Կարենիսի մ/դ,36,- չունի -,- չունի -,36,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Կարին,գ. Կարինի մ/դ,72,2,- չունի -,61,9,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Կարճաղբյուր,գ. Կարճաղբյուրի Ա. Գրիգորյանի անվ. մ/դ,104,- չունի -,- չունի -,100,4,- չունի -,- չունի -
Սյունիք,Մեղրի / Կարճևան,գ. Կարճևանի հմ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Կարմիր Աղեգի,գ. Կարմիր Աղեգու հմ/դ,7,- չունի -,- չունի -,7,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Կարմիրգյուղ,գ. Կարմիրգյուղի թիվ 2 մ/դ,168,- չունի -,- չունի -,168,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Կարմիրգյուղ,գ. Կարմիրգյուղի հ․ 1 մ/դ,180,- չունի -,- չունի -,178,2,- չունի -,- չունի -
Արագածոտն,Թալին / Կարմրաշեն,գ. Կարմրաշենի Ա. Ասլանյանի անվան մ/դ,20,- չունի -,- չունի -,20,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Կարմրաշեն,գ. Կարմրաշենի մ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Շիրակ,Աշոցք / Կարմրավան,գ. Կարմրավանի հմ/դ,8,- չունի -,- չունի -,8,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Կաքավաձոր,գ. Կաքավաձորի մ/դ,60,- չունի -,- չունի -,60,- չունի -,- չունի -,- չունի -
Շիրակ,Աշոցք / Կաքավասար,գ. Կաքավասարի տ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Կիրանց,գ. Կիրանցի հմ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Կոթի,գ. Կոթիի մ/դ,78,- չունի -,- չունի -,77,1,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Կողբ,գ. Կողբի Ջ.Կարախանյանի անվ. թիվ 1 մ/դ,106,1,- չունի -,103,2,- չունի -,- չունի -
Լոռի,Ստեփանավան / Կողես,գ. Կողեսի հմ/դ,13,2,- չունի -,11,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Կոշ,գ. Կոշի մ/դ,160,1,- չունի -,152,7,- չունի -,- չունի -
Սյունիք,Գորիս / Կոռնիձոր,գ. Կոռնիձորի մ/դ,37,- չունի -,- չունի -,35,2,- չունի -,- չունի -
Կոտայք,Աբովյան / Կոտայք,գ. Կոտայքի Ս.Վարդանյանի անվ. մ/դ,109,1,- չունի -,99,9,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Կութ,գ. Կութի մ/դ,5,- չունի -,- չունի -,5,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Կուտականի,գ. Կուտականի մ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Լոռի,Ստեփանավան / Կուրթան,գ. Կուրթանի մ/դ,101,- չունի -,- չունի -,101,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Կրաշեն,գ. Կրաշենի հմ/դ,14,- չունի -,- չունի -,14,- չունի -,- չունի -,- չունի -
Շիրակ,Աշոցք / Կրասար,գ. Կրասարի մ/դ,21,- չունի -,- չունի -,21,- չունի -,- չունի -,- չունի -
Լոռի,Ալավերդի / Հագվի,գ. Հագվու հմ/դ,25,- չունի -,- չունի -,25,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Հալիձոր,գ. Հալիձորի մ/դ,27,- չունի -,- չունի -,27,- չունի -,- չունի -,- չունի -
Արագածոտն,Թալին / Հակկո,գ. Հակոյի հմ/դ,8,- չունի -,- չունի -,8,- չունի -,- չունի -,- չունի -
Տավուշ,Դիլիջան / Հաղարծին,գ. Հաղարծինի մ/դ,224,4,- չունի -,217,3,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Հաղթանակ,գ. Հաղթանակի մ/դ,86,- չունի -,- չունի -,81,5,- չունի -,- չունի -
Լոռի,Ալավերդի / Հաղպատ,գ. Հաղպատի մ/դ,47,1,- չունի -,46,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Հայանիստ,գ. Հայանիստի մ/դ,158,1,- չունի -,130,27,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Հայթաղ,գ. Հայթաղի Հ.Կարապետյանի անվ. մ/դ,193,1,- չունի -,186,6,- չունի -,- չունի -
Շիրակ,Անի / Հայկաձոր,գ. Հայկաձորի մ/դ,25,- չունի -,- չունի -,25,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Հայկաշեն,գ. Հայկաշենի Գ.Կիրակոսյանի անվ. մ/դ,48,- չունի -,- չունի -,48,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Հայկասար,գ. Հայկասարի հմ/դ,3,- չունի -,- չունի -,3,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Հայկավան,գ. Հայկավանի մ/դ,80,- չունի -,- չունի -,80,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Հայկավան,գ. Հայկավանի մ/դ,59,- չունի -,- չունի -,59,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Գավառ / Հայրավանք,գ. Հայրավանքի մ/դ,57,- չունի -,- չունի -,57,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Հայրենյաց,գ. Հայրենյացի մ/դ,53,- չունի -,- չունի -,51,2,- չունի -,- չունի -
Շիրակ,Արթիկ / Հառիճ,գ. Հառիճի մ/դ,71,1,- չունի -,70,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Հատիս,գ. Հատիսի Վ.Վարդանյանի անվ. մ/դ,20,- չունի -,- չունի -,20,- չունի -,- չունի -,- չունի -
Լոռի,Սպիտակ / Հարթագյուղ,գ. Հարթագյուղի մ/դ,56,- չունի -,- չունի -,53,3,- չունի -,- չունի -
Շիրակ,Աշոցք / Հարթաշեն,գ. Հարթաշենի հմ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Սյունիք,Գորիս / Հարթաշեն,գ. Հարթաշենի մ/դ,43,- չունի -,- չունի -,35,8,- չունի -,- չունի -
Արագածոտն,Ապարան / Հարթավան,գ. Հարթավանի մ/դ,59,- չունի -,- չունի -,58,1,- չունի -,- չունի -
Սյունիք,Գորիս / Հարժիս,գ. Հարժիսի մ/դ,36,1,- չունի -,34,1,- չունի -,- չունի -
Արագածոտն,Թալին / Հացաշեն,գ. Հացաշենի հմ/դ,13,- չունի -,- չունի -,12,1,- չունի -,- չունի -
Կոտայք,Աբովյան / Հացավան,գ. Հացավանի Հ.Մանուկյանի անվ. մ/դ,35,1,- չունի -,34,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Հացավան,գ. Հացավանի մ/դ,16,- չունի -,- չունի -,13,3,- չունի -,- չունի -
Արմավիր,Արմավիր / Հացիկ,գ. Հացիկի Ա.Բաղդասրյանի անվ. մ/դ,118,- չունի -,- չունի -,116,2,- չունի -,- չունի -
Շիրակ,Ախուրյան / Հացիկ,գ. Հացիկի մ/դ,58,- չունի -,- չունի -,52,6,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Հերհեր,գ. Հերհերի մ/դ,25,- չունի -,- չունի -,25,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Հերմոն,գ. Հերմոնի հմ/դ,8,- չունի -,- չունի -,6,2,- չունի -,- չունի -
Արագածոտն,Արագած / Հնաբերդ,գ. Հնաբերդի մ/դ,109,- չունի -,- չունի -,109,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Հնաբերդ,գ. Հնաբերդի մ/դ,61,- չունի -,- չունի -,57,4,- չունի -,- չունի -
Լոռի,Ստեփանավան / Հոբարձի,գ. Հոբարձու Ա. Ղուկասյանի անվ. մ/դ,14,- չունի -,- չունի -,14,- չունի -,- չունի -,- չունի -
Շիրակ,Ամասիա / Հողմիկ,գ. Հողմիկի մ/դ,11,- չունի -,- չունի -,11,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Հոռոմ,գ. Հոռոմի մ/դ,98,- չունի -,- չունի -,94,4,- չունի -,- չունի -
Շիրակ,Ախուրյան / Հովիտ,գ. Հովիտի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Շիրակ,Ախուրյան / Հովունի,գ. Հովունու մ/դ,26,- չունի -,- չունի -,26,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Հովտամեջ,գ. Հովտամեջի մ/դ,79,- չունի -,- չունի -,78,1,- չունի -,- չունի -
Արարատ,Մասիս / Հովտաշատ,գ. Հովտաշատի մ/դ,215,- չունի -,- չունի -,210,5,- չունի -,- չունի -
Շիրակ,Արթիկ / Հովտաշեն,գ. Հովտաշենի հմ/դ,19,- չունի -,- չունի -,19,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Հովտաշեն,գ. Հովտաշենի մ/դ,81,- չունի -,- չունի -,78,3,- չունի -,- չունի -
Շիրակ,Ամասիա / Հովտուն,գ. Հովտունի տ/դ,4,- չունի -,- չունի -,4,- չունի -,- չունի -,- չունի -
Տավուշ,Դիլիջան / Հովք,գ. Հովքի մ/դ,21,- չունի -,- չունի -,21,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Հորբատեղ,գ. Հորբատեղի հմ/դ,5,- չունի -,- չունի -,5,- չունի -,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Հորս,գ. Հորսի հմ/դ,1,- չունի -,- չունի -,1,- չունի -,- չունի -,- չունի -
Արմավիր,Բաղրամյան / Հուշակերտ,գ. Հուշակերտի մ/դ,33,- չունի -,- չունի -,30,3,- չունի -,- չունի -
Շիրակ,Անի / Ձիթիանքով,գ. Ձիթհանքովի մ/դ,46,- չունի -,- չունի -,46,- չունի -,- չունի -,- չունի -
Լոռի,Տաշիր / Ձյունաշող,գ. Ձյունաշողի մ/դ,3,- չունի -,- չունի -,3,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Ձորագետ,գ. Ձորագետի հմ/դ,5,- չունի -,- չունի -,5,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ձորագյուղ,գ. Ձորագյուղի ա/դ,49,- չունի -,- չունի -,49,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Ձորագյուղ,գ. Ձորագյուղի Հ. Ղազարյանի անվ. հմ/դ,222,1,- չունի -,220,1,- չունի -,- չունի -
