Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2017  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2017  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2017  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2017  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,179264
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,121
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,97
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,47
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,22
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,106
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,30
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,12
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,53
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",352
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",43
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",134
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,73
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,391
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,52
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,60
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,53
Տավուշ,Դիլիջան / Դիլիջան,«Մոնթե Մելքոնյանի» անվ․ ռազմամարզական վարժարան,1
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,492
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,52
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,19
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,245
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,156
Երևան,Երևան / Էրեբունի,"Ազատազրկման ձևով պատիժ կրող, կալանավորված անձանց հտ մ/դ",1
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,21
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,26
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,57
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,19
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,42
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,84
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,76
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,36
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,92
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,2
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,58
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,178
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,300
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,28
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,162
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,34
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,3
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,16
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,7
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,41
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,132
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,16
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,4
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,18
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,44
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,203
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,193
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,17
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,165
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,16
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,55
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,117
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,150
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,32
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,7
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,97
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,74
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,15
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,168
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,18
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,18
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,14
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,76
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,13
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,3
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,30
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,6
