Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2016  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2016  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2016  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2016  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,191119
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,128
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,103
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,52
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,24
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,113
Շիրակ,Գյումրի / Գյումրի,Շիրակի Մ.Նալբանդյանի անվ. պետ.համալսարան հիմնադրամի ա/դ,19
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,34
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,12
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,61
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",367
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",43
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",134
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,73
Երևան,Երևան / Էրեբունի,«Ա․ Ֆրանսի անվ․ ֆրանսիական կրթ.»,11
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,394
Երևան,Երևան / Կենտրոն,«Երևանի պետական համալսարան» հիմնադրամի ՍԹԵՄ դպրոց,24
Երևան,Երևան / Կենտրոն,«Էսոլարմ» ՍՊԸ,8
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,57
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,62
Շիրակ,Արթիկ / Հառիճ,«Հառիճավանքի Թրբանճյան Ընծայարան» ա/դ,12
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,95
Տավուշ,Դիլիջան / Դիլիջան,«Մոնթե Մելքոնյանի» անվ․ ռազմամարզական վարժարան,85
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,552
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,52
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,19
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,327
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,158
Երևան,Երևան / Էրեբունի,"Ազատազրկման ձևով պատիժ կրող, կալանավորված անձանց հտ մ/դ",1
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,21
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,34
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,60
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,72
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,19
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,45
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,87
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,82
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,41
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,101
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,2
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,65
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,197
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,313
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,28
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,176
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,37
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,3
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,19
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,7
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,44
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,139
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,18
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,4
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,19
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,44
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,203
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,194
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,18
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,183
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,16
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,60
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,36
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,124
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,162
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,7
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,106
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,79
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,18
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,176
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,19
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,22
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,15
