Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,158967
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,106
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,90
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,38
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,20
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,89
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,29
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,11
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,47
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",308
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",43
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",133
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,68
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,371
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,46
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,58
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,43
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,432
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,42
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,18
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,187
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,135
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,17
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,18
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,49
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,17
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,38
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,70
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,67
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,33
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,75
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,2
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,51
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,156
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,279
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,28
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,148
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,31
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,3
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,15
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,5
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,33
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,121
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,14
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,4
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,18
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,40
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,185
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,168
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,15
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,147
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,14
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,50
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,110
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,134
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,26
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,6
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,81
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,68
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,14
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,149
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,18
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,14
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,13
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,67
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,12
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,2
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,24
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,5
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,80
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,76
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,17
