Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2012  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2012  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2012  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2012  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,214126
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,145
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,114
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,62
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,27
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,129
Շիրակ,Գյումրի / Գյումրի,Շիրակի Մ.Նալբանդյանի անվ. պետ.համալսարան հիմնադրամի ա/դ,59
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,39
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,12
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,77
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",409
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",43
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",134
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,74
Երևան,Երևան / Էրեբունի,«Ա․ Ֆրանսի անվ․ ֆրանսիական կրթ.»,21
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,398
Երևան,Երևան / Կենտրոն,«Երևանի պետական համալսարան» հիմնադրամի ՍԹԵՄ դպրոց,53
Երևան,Երևան / Կենտրոն,«Էսոլարմ» ՍՊԸ,18
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,67
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,69
Շիրակ,Արթիկ / Հառիճ,«Հառիճավանքի Թրբանճյան Ընծայարան» ա/դ,23
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,179
Տավուշ,Դիլիջան / Դիլիջան,«Մոնթե Մելքոնյանի» անվ․ ռազմամարզական վարժարան,211
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,665
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,52
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,19
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,525
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,201
Երևան,Երևան / Էրեբունի,"Ազատազրկման ձևով պատիժ կրող, կալանավորված անձանց հտ մ/դ",9
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,21
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,47
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,70
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,208
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,20
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,47
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,110
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,88
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,55
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,132
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,2
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,70
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,236
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,378
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,28
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,201
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,41
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,3
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,22
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,7
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,57
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,152
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,24
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,4
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,19
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,49
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,204
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,194
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,18
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,219
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,16
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,70
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,150
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,188
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,42
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,7
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,118
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,92
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,19
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,196
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,21
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,28
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,15
