Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2020  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2020  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2020  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2020  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,120775
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,83
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,71
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,25
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,11
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,72
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,25
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,9
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,28
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",235
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",40
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",104
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,56
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,331
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,34
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,48
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,22
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,286
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,10
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,12
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,108
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,109
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,13
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,3
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,50
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,33
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,13
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,26
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,58
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,46
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,25
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,69
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,2
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,43
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,106
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,192
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,22
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,109
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,23
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,12
Լոռի,Ալավերդի / Աթան,գ. Աթանի հմ/դ,3
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,27
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,92
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,11
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,3
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,12
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,30
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,141
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,127
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,10
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,108
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,14
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,35
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,97
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,19
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,93
Լոռի,Ալավերդի / Ահնիձոր,գ. Ահնիձորի հմ/դ,5
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,52
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,48
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,11
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,112
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,14
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,12
Սյունիք,Սիսիան / Աղիտու,գ. Աղիտուի հմ/դ,7
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,58
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,9
Սյունիք,Կապան / Աղվանի,գ. Աղվանու հմ/դ,1
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,2
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,15
Տավուշ,Իջևան / Աճարկուտ,գ. Աճարկուտի հմ/դ,3
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,57
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,52
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,14
